,rain1,rain2,rain3,rain4,rain5,rain6,,,rain1,rain2,rain3,rain4,rain5,rain6
state-1-wl,41.06,31.54,27.33,15.98,8.77,26.38,,mid,41.17,31.65,27.455,16.235,8.82,26.275
state-1-fl,41.28,31.76,27.58,16.49,8.87,26.17,,mid+up,41.00833333,31.46833333,27.48833333,16.22833333,9.01,26.41833333
state-1-wfl,41.01,31.44,27.41,16.09,8.81,26.28,,mid+down,41.20666667,31.82833333,27.56833333,16.27833333,9.096666667,26.48166667
state-2-1-wl,41.04,31.53,27.51,16.37,8.71,26.74,,all,40.97,31.59333333,27.39166667,16.02,8.851666667,26.22166667
state-2-1-fl,40.89,31.47,27.5,17.12,9.85,26.87,,,,,,,,
state-2-1-wfl,41.01,31.55,27.62,15.95,8.78,26.21,,,,,,,,
state-2-2-wl,40.98,31.34,27.37,15.92,8.77,26.3,,wl,41.22142857,31.76142857,27.57571429,16.30571429,9.027142857,26.57571429
state-2-2-fl,41.12,31.48,27.52,15.92,9.14,26.11,,fl,40.99428571,31.55714286,27.43857143,16.16714286,8.997142857,26.29428571
state-2-2-wfl,40.98,31.58,27.42,15.93,8.79,26.12,,all,40.99142857,31.56714286,27.40714286,16.04,8.858571429,26.21142857
state-3-1-wl,41.14,31.66,27.64,16.52,8.79,26.55,,,,,,,,
state-3-1-fl,40.9,31.52,27.37,15.98,8.87,26.15,,,,,,,,
state-3-1-wfl,40.98,31.54,27.27,15.94,8.93,26.09,,,,,,,,
state-3-2-wl,42.26,33.17,28.42,17.35,10.41,27.66,,,,,,,,
state-3-2-fl,40.98,31.5,27.29,15.95,8.79,26.32,,,,,,,,
state-3-2-wfl,40.97,31.75,27.42,16.34,9.09,26.16,,,,,,,,
state-4-1-wl,41.01,31.54,27.39,16.05,9,26.14,,,,,,,,
state-4-1-fl,40.8,31.52,27.28,15.87,8.73,26.29,,,,,,,,
state-4-1-wfl,40.99,31.55,27.36,16.07,8.82,26.33,,,,,,,,
state-4-2-wl,41.06,31.55,27.37,15.95,8.74,26.26,,,,,,,,
state-4-2-fl,40.99,31.65,27.53,15.84,8.73,26.15,,,,,,,,
state-4-2-wfl,41,31.56,27.35,15.96,8.79,26.29,,,,,,,,
